card_name	set_name	printing
Hurloon Shaman	Weatherlight	
Afterlife	Mirage	
Black Ward	Fourth Edition	
Castle	Fourth Edition	
Circle of Protection: Red	Tempest	
Circle of Protection: Red	Tempest	
Circle of Protection: Red	Tempest	
Gerrard's Wisdom	Weatherlight	
Soltari Foot Soldier	Tempest	
Soltari Foot Soldier	Tempest	
Soltari Foot Soldier	Tempest	
Soltari Foot Soldier	Tempest	
Soltari Foot Soldier	Tempest	
Soltari Foot Soldier	Tempest	
Feedback	Fourth Edition	
Ghost Ship	Fourth Edition	
Lava Burst	Ice Age	
Stone Rain	Mirage	
Stone Rain	Fourth Edition	
Stone Rain	Fourth Edition	
Stone Rain	Fourth Edition	
Stone Rain	Fourth Edition	
Stone Rain	Mirage	
Stone Rain	Mirage	
Stone Rain	Mirage	
Stone Rain	Mirage	
Gerrard's Wisdom	Weatherlight	
Gerrard's Wisdom	Weatherlight	
Gerrard's Wisdom	Weatherlight	
Koskun Keep	Homelands	
Koskun Keep	Homelands	
Elixir of Vitality	Mirage	
Joven's Tools	Homelands	
Joven's Tools	Homelands	
Essence Vortex	Ice Age	
Kaervek's Purge	Mirage	
Spontaneous Combustion	Tempest	
Runed Servitor	Magic Origins	
Clot Sliver	Tempest	
Clot Sliver	Tempest	
Clot Sliver	Tempest	
Clot Sliver	Tempest	
Clot Sliver	Tempest	
Dauthi Slayer	Tempest	
Cry of Contrition	Guildpact	
Cry of Contrition	Guildpact	
Cry of Contrition	Guildpact	
Cry of Contrition	Guildpact	
Call of the Full Moon	Magic Origins	
Frogmite	Modern Masters 2015	
Repeal	Modern Masters 2015	
Myrsmith	Modern Masters 2015	
Resolute Blademaster	Battle for Zendikar	
Resolute Blademaster	Battle for Zendikar	
Ondu Rising	Battle for Zendikar	
Ulamog's Nullifier	Battle for Zendikar	
Thrull Token	Modern Masters 2015	
Halimar Tidecaller	Battle for Zendikar	
Submerged Boneyard	Oath of the Gatewatch	
Timber Gorge	Oath of the Gatewatch	
Tranquil Expanse	Oath of the Gatewatch	
Cyclone Sire	Oath of the Gatewatch	
Thought Harvester	Oath of the Gatewatch	
Havoc Sower	Oath of the Gatewatch	
Topplegeist	Shadows Over Innistrad	
Mad Prophet	Shadows Over Innistrad	
Humble the Brute	Shadows Over Innistrad	
Reverse Polarity	Revised Edition	
Winterflame	Khans of Tarkir	
Winterflame	Khans of Tarkir	
Ruthless Deathfang	Dragons of Tarkir	
Reap What Is Sown	Born of the Gods	
Dromoka Captain	Dragons of Tarkir	
Scale Blessing	Dragons of Tarkir	
Bump in the Night	Innistrad	
Crypt Incursion	Dragon's Maze	
Ruthless Ripper	Khans of Tarkir	
Arc Lightning	Khans of Tarkir	
Forced Adaptation	Gatecrash	
Salt Road Ambushers	Dragons of Tarkir	
Memory Lapse	Mirage	
Memory Lapse	Mirage	
Sea Scryer	Mirage	
Sea Scryer	Mirage	
Sea Scryer	Mirage	
Sea Scryer	Mirage	
Shimmering Wings	Tempest	
Shimmering Wings	Tempest	
Shimmering Wings	Tempest	
Shimmering Wings	Tempest	
Waterspout Djinn	Visions	
Charging Rhino	Tempest	
Fog	Fourth Edition	
Fog	Mirage	
Fog	Mirage	
Llanowar Druid	Weatherlight	
Llanowar Druid	Weatherlight	
Llanowar Druid	Weatherlight	
Abyssal Gatekeeper	Weatherlight	
Abyssal Gatekeeper	Weatherlight	
Wall of Bone	Fifth Edition	
Anaba Bodyguard	Homelands	
Flowstone Flood	Exodus	
Orcish Mine	Homelands	
Paroxysm	Exodus	
Circle of Protection: Red	Fourth Edition	
Circle of Protection: Red	Fourth Edition	
Circle of Protection: Red	Fourth Edition	
Circle of Protection: Red	Fourth Edition	
Circle of Protection: Red	Fourth Edition	
Favorable Destiny	Mirage	
Favorable Destiny	Mirage	
Kjeldoran Skycaptain	Fifth Edition	
Rashka the Slayer	Homelands	
Rashka the Slayer	Homelands	
Gem of Becoming	Magic 2013 (M13)	
Courtly Provocateur	Magic 2013 (M13)	
Spiteful Returned	Born of the Gods	
Coral Fighters	Mirage	
Wildfire Emissary	Mirage	
Wildfire Emissary	Mirage	
Wildfire Emissary	Mirage	
Terror	Fourth Edition	
Terror	Fourth Edition	
Terror	Fourth Edition	
Terror	Fourth Edition	
Quickling	Magic 2015 (M15)	
Ophidian	Weatherlight	
Ophidian	Weatherlight	
Ophidian	Weatherlight	
Fog	Mirage	
Fog	Fourth Edition	
Fog	Fourth Edition	
Phyrexian Splicer	Tempest	
Walking Wall	Ice Age	
Smash to Smithereens	Magic Origins	
War Horn	Magic Origins	
Smash to Smithereens	Magic Origins	
Titan's Strength	Magic Origins	
Thopter Token (Velinov)	Magic Origins	
Merfolk Looter	Exodus	
Terramorphic Expanse	Magic 2011 (M11)	
Terramorphic Expanse	Magic 2011 (M11)	
Terramorphic Expanse	Magic 2011 (M11)	
Terramorphic Expanse	Magic 2011 (M11)	
Terramorphic Expanse	Magic 2011 (M11)	
Terramorphic Expanse	Magic 2011 (M11)	
Terramorphic Expanse	Magic 2011 (M11)	
Terramorphic Expanse	Magic 2011 (M11)	
Terror	Fourth Edition	
Terror	Fourth Edition	
Terror	Fourth Edition	
Terror	Fourth Edition	
Terror	Fourth Edition	
Terror	Fourth Edition	
Recoil	Invasion	
Recoil	Invasion	
Recoil	Invasion	
Recoil	Invasion	
Smash to Smithereens	Magic Origins	
Skarrgan Firebird	Modern Masters 2015	
Wrecking Ball	Modern Masters 2015	
Vampire Lacerator	Modern Masters 2015	
Grovetender Druids	Battle for Zendikar	
Retreat to Kazandu	Battle for Zendikar	
Screeching Sliver	Time Spiral	
Screeching Sliver	Time Spiral	
Screeching Sliver	Time Spiral	
Screeching Sliver	Time Spiral	
Izzet Staticaster	Return to Ravnica	
Izzet Staticaster	Return to Ravnica	
Izzet Staticaster	Return to Ravnica	
Izzet Staticaster	Return to Ravnica	
Merfolk Looter	Exodus	
Merfolk Looter	Exodus	
Merfolk Looter	Exodus	
Chitinous Cloak	Oath of the Gatewatch	
Roiling Waters	Oath of the Gatewatch	
Embodiment of Fury	Oath of the Gatewatch	
Tears of Valakut	Oath of the Gatewatch	
Serra Angel	Magic 2014 (M14)	
Olivia's Bloodsworn	Shadows Over Innistrad	
Behind the Scenes	Shadows Over Innistrad	
Stormcrag Elemental	Dragons of Tarkir	
